;data_aplicacao_vacina;TOTAL_DOSES;1DOSE;2DOSE;DOSE_UNI;DOSE_ADC;PFIZER;ASTRAZENECA_FIOCRUZ;SINOVAC_BUTANTAN;JANSSEN;FEMININO;MASCULINO;BRANCA;PRETA;PARDA;AMARELA;SEM INFORMACAO;menos 19 anos;20 a 39 anos;40 a 59 anos;60 a 79 anos;mais 80 anos
216;2021-08-20;4288;509;3776;3;0;551;3255;479;3;2400;1888;2534;174;159;116;1304;84;1669;2398;132;5
217;2021-08-21;8689;8467;222;0;0;7333;117;1239;0;4505;4184;5170;377;490;295;2353;195;7984;471;38;1
218;2021-08-22;582;64;518;0;0;64;488;30;0;344;238;343;23;16;17;183;9;185;368;20;0
219;2021-08-23;3555;594;2961;0;0;493;2616;446;0;1911;1644;2100;163;163;119;1010;118;1339;1959;138;1
220;2021-08-24;2967;383;2568;16;0;413;2205;333;16;1573;1394;1724;136;141;83;881;78;1161;1596;131;1
221;2021-08-25;2439;389;2049;1;0;381;1593;464;1;1326;1113;1380;106;116;80;757;74;1155;1134;73;3
222;2021-08-26;12161;11553;603;5;0;6407;379;5370;5;5974;6187;7186;587;722;425;3233;4657;6678;769;52;5
223;2021-08-27;2761;292;2462;7;0;865;1188;701;7;1377;1384;1577;93;105;83;902;143;1275;1248;89;6
224;2021-08-28;6760;602;6157;1;0;679;4376;1704;1;3914;2846;4197;331;332;203;1695;146;2289;3991;331;3
225;2021-08-29;107;59;42;6;0;42;33;26;6;44;63;65;7;6;5;24;14;52;40;1;0
226;2021-08-30;4223;2461;1756;6;0;385;1178;2654;6;2027;2196;2373;257;299;179;1113;689;2287;1167;79;1
227;2021-08-31;3304;232;3063;5;4;404;1943;952;5;1644;1660;1945;130;153;89;987;86;1298;1827;87;6
228;2021-09-01;3619;183;3429;5;2;2198;830;586;5;1937;1682;2039;91;128;69;1292;75;986;2455;98;5
229;2021-09-02;1750;156;1592;2;0;590;746;412;2;905;845;1001;66;88;58;537;65;690;948;45;2
230;2021-09-03;4086;194;3890;2;0;2288;997;799;2;2252;1834;2294;145;164;108;1373;64;1223;2726;71;2
231;2021-09-04;1328;81;1245;0;2;427;585;316;0;692;636;799;45;54;27;403;51;442;808;23;4
232;2021-09-05;38;9;28;0;1;10;22;6;0;17;21;22;0;2;1;13;2;18;16;1;1
233;2021-09-06;1396;106;1279;3;8;472;652;269;3;756;640;808;63;63;36;426;52;461;838;39;6
234;2021-09-07;171;109;61;0;1;24;41;106;0;86;85;86;6;21;10;48;26;106;37;1;1
235;2021-09-08;1777;265;1507;1;4;589;710;477;1;922;855;996;69;106;52;554;81;684;978;32;2
236;2021-09-09;3820;2473;1337;4;6;491;627;2698;4;1935;1885;2138;217;307;176;981;534;2192;1025;66;3
